order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
109-8048605-9445839	42801715631258	1	2014-10-07	FedEx		575431937390	Home
110-0896642-0984232	57606627386242	1	2014-10-07	FedEx		604120821121	Home
111-5543970-9995467	09512180425394	1	2014-10-07	FedEx		604120821110	Home
116-2266334-0242619	26425373712770	1	2014-10-07	FedEx		604120821143	Home
103-0665971-6147413	03287271782682	1	2014-10-07	FedEx		604120821165	Home
105-3539833-8945854	14620295368154	1	2014-10-09	FedEx		604120821728	Home
111-4249367-9122622	28280528338874	1	2014-10-09	FedEx		604120821680	Home
002-7385147-2921825	59469903671370	1	2014-10-09	FedEx		604120821670	Home
112-8564216-2964260	56842365215122	1	2014-10-09	FedEx		604120821691	Home
002-1914479-6205816	19864746437546	1	2014-10-09	FedEx		604120821820	Home
116-1481977-8809015	25970255248146	1	2014-10-10	FedEx		604120821897	Home
116-9217444-5401809	34119660616938	1	2014-10-10	FedEx		604120821901	Home
110-0756648-3289843	03647228825578	1	2014-10-10	FedEx		604120821934	Home
114-8762438-1757832	47501035859514	1	2014-10-10	FedEx		604120821886	Home
114-3786101-6322658	36498130958050	1	2014-10-10	FedEx		604120821875	Home
113-0425549-5661049	50869681352938	1	2014-10-10	FedEx		604120821853	Home
002-7339116-0608254	38016304135154	1	2014-10-10	FedEx		604120821967	Home
112-6840710-3592210	53040276972186	1	2014-10-10	FedEx		604120821956	Home
