order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
102-8321347-2561003	50586383356322	1	2014-10-11	FedEx		604120822128	Home
109-2684060-1505015	01147323320642	1	2014-10-10	FedEx		604120822209	Home
104-5328092-7809843	56429558470730	1	2014-10-11	FedEx		604120822183	Home
102-6329700-6889861	34795869685130	1	2014-10-11	FedEx		604120822117	Home
102-9183357-3055409	22532269435274	1	2014-10-11	FedEx		604120822139	Home
110-3425573-1233041	09887106216354	1	2014-10-11	FedEx		604120822220	Home
109-6911254-9445869	62892124008594	1	2014-10-11	FedEx		604120822210	Home
103-4293060-1476200	45835779472570	1	2014-10-11	FedEx		604120822150	Home
107-7968100-1866668	37906219392250	1	2014-10-12	FedEx		604120822194	Home
