order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
106-1415191-5502608	33403401242266	1	2014-10-14	FedEx		604120823054	Home
107-1730306-5331448	56813125567698	1	2014-10-14	FedEx		604120823076	Home
103-2683053-5538614	57687624722538	1	2014-10-15	FedEx		604120823032	Home
106-8044805-2933821	11191037665530	1	2014-10-15	FedEx		604120823065	Home
104-6470050-3997862	02328665162954	1	2014-10-15	FedEx		604120823043	Home
111-3054177-2301856	14467821483650	1	2014-10-15	FedEx		604120823087	Home
114-8782113-4145049	49320333780882	1	2014-10-15	FedEx		604120823098	Home
002-8295894-8377048	65624317338170	1	2014-10-15	FedEx		604120823010	Home
116-1024965-9797056	46986792389234	1	2014-10-15	FedEx		604120823102	Home
114-5277173-3480248	45040602556154	1	2014-10-15	FedEx		604120823113	Home
104-2798878-8258653	21566958560978	1	2014-10-15	FedEx		604120823250	Home
109-5387063-4281850	57974479377922	1	2014-10-15	FedEx		604120823227	Home
111-0841383-1417039	32844066199354	1	2014-10-15	FedEx		604120823238	Home
