order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
115-4395730-7591430	55764903590906	1	2014-10-17	FedEx		604120823720	Home
103-6313080-5332214	00401365154074	1	2014-10-17	FedEx		604120823710	Home
116-5650031-3449847	22831857224930	1	2014-10-18	FedEx		604120823948	Home
106-2669532-7910621	07438002625322	1	2014-10-18	FedEx		604120823937	Home
102-5361599-1542621	34607862468610	1	2014-10-18	FedEx		604120823889	Home
116-5658491-2521016	07260348110394	1	2014-10-18	FedEx		604120824017	Home
108-6687116-1217039	60340824534538	1	2014-10-18	FedEx		604120824028	Home
115-5425369-0732244	41871741482626	1	2014-10-19	FedEx		604120823960	Home
113-8062864-9318628	58511894852290	1	2014-10-19	FedEx		604120824006	Home
110-2005248-0577049	68847751943362	1	2014-10-19	FedEx		604120823970	Home
111-6323557-1166660	62646173814610	1	2014-10-19	FedEx		604120823981	Home
113-5401722-1172254	57686835262386	1	2014-10-19	FedEx		604120823992	Home
108-6589165-5775441	29615479455002	1	2014-10-19	FedEx		621009315893	Home
107-2682922-7761854	62354321559602	1	2014-10-20	FedEx		604120823959	Home
116-9541989-2195461	54272808498554	1	2014-10-20	FedEx		604120823904	Home
116-0182929-4014612	25238101260306	1	2014-10-20	FedEx		604120823926	Home
