order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
113-2514820-7802620	35258979227442	1	2014-10-16	FedEx		604120823503	Home
116-9238689-4757052	32402208427802	1	2014-10-16	FedEx		604120823466	Home
002-7232922-8003449	58076260204914	1	2014-10-16	FedEx		604120823422	Home
108-5585031-1475418	03567558004146	1	2014-10-16	FedEx		604120823433	Home
116-5648176-7709807	61561149023098	1	2014-10-16	FedEx		604120823455	Home
115-6204859-0009806	45952493232618	1	2014-10-16	FedEx		604120823444	Home
002-4049751-6131403	09554733651498	1	2014-10-16	FedEx		604120823400	Home
106-4010749-7786624	09924898429866	1	2014-10-16	FedEx		604120823477	Home
112-6555765-3572238	23253903017218	1	2014-10-16	FedEx		604120823499	Home
104-9436895-8558615	30230129119522	1	2014-10-16	FedEx		604120823606	Home
106-2988349-7481804	08344346802250	1	2014-10-16	FedEx		604120823558	Home
103-2807209-7453849	05309191962802	1	2014-10-17	FedEx		604120823580	Home
106-4377675-9233045	08285274658202	1	2014-10-17	FedEx		604120823628	Home
105-3564035-5469825	19740841055442	1	2014-10-17	FedEx		604120823617	Home
110-7169250-2489015	13699353662290	1	2014-10-17	FedEx		604120823683	Home
109-4147783-8099445	20136270783898	1	2014-10-17	FedEx		604120823672	Home
109-1099669-7617814	50558050416690	1	2014-10-17	FedEx		604120823661	Home
107-6843897-4054606	61914680254378	1	2014-10-17	FedEx		604120823650	Home
115-0773161-7024239	58400924940650	1	2014-10-17	FedEx		604120823640	Home
