order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
105-4037628-1717822	32347075307490	1	2014-10-13	FedEx		604120822790	Home
107-0646162-7997024	00257219664050	1	2014-10-14	FedEx		604120822805	Home
111-2173872-9977029	18000844540482	1	2014-10-14	FedEx		604120822860	Home
116-3075037-6380246	62882158840474	1	2014-10-14	FedEx		604120822780	Home
109-0489974-9690636	20741238234226	1	2014-10-14	FedEx		604120822893	Home
108-1635180-1587446	54812060637258	1	2014-10-14	FedEx		604120822827	Home
109-0054051-1109007	18923442015306	1	2014-10-14	FedEx		604120822850	Home
105-3676102-0403410	56132291621034	1	2014-10-14	FedEx		604120822768	Home
103-2405642-3462611	65192937418698	1	2014-10-14	FedEx		604120822779	Home
115-0850965-1459450	24339129352418	1	2014-10-14	FedEx		604120822919	Home
110-8158638-2580261	55180428300506	1	2014-10-14	FedEx		604120822908	Home
103-3983594-3312240	66996259905602	1	2014-10-14	FedEx		604120822952	Home
108-1371919-3543400	14919007644986	1	2014-10-14	FedEx		604120822996	Home
