order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
102-7030424-9400268	28084315840690	1	2014-10-17	FedEx		604120824326	Home
109-7144271-0885852	19343218304338	1	2014-10-17	FedEx		604120824304	Home
114-7880882-5342647	20620464846570	1	2014-10-19	FedEx		604120824348	Home
108-7796747-5801041	02356298072618	1	2014-10-20	FedEx		604120824337	Home
115-8789212-5217033	46719548377442	1	2014-10-20	FedEx		604120824521	Home
106-8354421-5426622	21853674585834	1	2014-10-21	FedEx		604120824462	Home
109-0289819-9914660	67197853056090	1	2014-10-21	FedEx		604120824473	Home
110-8782745-8155416	46993857869170	1	2014-10-21	FedEx		604120824484	Home
002-1132285-4529830	31133881081794	1	2014-10-21	FedEx		604120824451	Home
114-7968880-4074605	31333001792162	1	2014-10-21	FedEx		604120824495	Home
108-9033591-6131424	56966125920658	1	2014-10-21	FedEx		604120824532	Home
