order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
103-7777299-3709850	28639507544818	1	2014-10-07	FedEx		604120821030	Home
111-6423752-3158612	17862480416986	1	2014-10-07	FedEx		604120820960	Home
107-4764297-4197051	63003886070002	1	2014-10-07	FedEx		604120820916	Home
114-6927327-4991405	46364586095834	1	2014-10-07	FedEx		604120820971	Home
113-9983306-1312229	61255821667314	1	2014-10-07	FedEx		604120820949	Home
116-0973870-0863447	48023376207410	1	2014-10-07	FedEx		604120820927	Home
105-6498807-3173807	17900866894466	1	2014-10-07	FedEx		604120821040	Home
002-1553700-7487403	31842901128002	1	2014-10-07	FedEx		604120821018	Home
112-3696582-8104203	41881608934162	1	2014-10-07	FedEx		604120821100	Home
110-3287319-8122647	63947594949490	1	2014-10-07	FedEx		604120821073	Home
108-4902982-5566633	37162045603970	1	2014-10-07	FedEx		604120821084	Home
109-1016616-6493853	01424730907210	1	2014-10-07	FedEx		604120821062	Home
108-6984260-3682641	33226001919170	1	2014-10-07	FedEx		604120821290	Home
110-8924965-0950652	56365788927034	1	2014-10-08	FedEx		604120821327	Home
110-2468659-0349825	10922748377554	1	2014-10-08	FedEx		604120821305	Home
112-1703427-5109842	25465566747042	1	2014-10-08	FedEx		604120821338	Home
113-9791065-9137014	33907748553154	1	2014-10-08	FedEx		604120821349	Home
104-9133641-4273810	00393103206002	1	2014-10-08	FedEx		604120821280	Home
116-5839791-6005803	27605227076394	1	2014-10-08	FedEx		604120821202	Home
110-5545823-9468235	39934760719514	1	2014-10-08	FedEx		604120821316	Home
113-5124677-1540265	68860319129594	1	2014-10-08	FedEx		604120821463	Home
002-5587644-1448208	50544711144586	1	2014-10-08	FedEx		575431937416	Home
112-9181457-1923409	52589225401834	1	2014-10-08	FedEx		604120821441	Home
113-7605510-1665053	33955139071794	1	2014-10-08	FedEx		604120821452	Home
104-7430252-3461004	24941542500874	1	2014-10-08	FedEx		604120821430	Home
104-3131180-0267435	36377338745450	1	2014-10-08	FedEx		604120821588	Home
104-4031396-5975462	41819664827178	1	2014-10-09	FedEx		604120821599	Home
104-8934731-3389062	25905685584922	1	2014-10-09	FedEx		604120821603	Home
002-9523468-1197800	52357297948106	1	2014-10-09	FedEx		604120821577	Home
115-8227081-7364224	54909125861802	1	2014-10-09	FedEx		604120821625	Home
111-2453343-9061063	31183303015522	1	2014-10-09	FedEx		575431937427	Home
107-2679077-7923457	17547503833122	1	2014-10-09	FedEx		604120821614	Home
106-6685014-1469848	64503739290242	1	2014-10-09	FedEx		604120821647	Home
104-4717563-2752267	15818146412458	1	2014-10-09	FedEx		604120821636	Home
113-7724959-1849843	00041777956954	1	2014-10-09	FedEx		604120821658	Home
